timestamp,emotion,pattern_index,feedback,weights_after
1,calm_0,1,0.500;0.500
2,sad_0,1,0.500;0.500
3,happy_0,1,0.500;0.500
1,calm_0,1,0.500;0.500
2,sad_0,1,0.500;0.500
1,calm,0,1,0.500;0.500
2,calm,0,1,0.545;0.455
3,sad,0,1,0.500;0.500
4,sad,0,1,0.545;0.455
1,happy,0,1,0.500;0.500
2,happy,1,1,0.455;0.545
1,happy,0,1,0.500;0.500
2,sad,0,1,0.500;0.500
3,calm,0,1,0.500;0.500
1,sad,0,1,0.500;0.500
2,happy,0,1,0.500;0.500
1,1happy,0,,0.500;0.500
2,happy,0,1,0.545;0.455
3,happy,0,1,0.587;0.413
4,happy,0,1,0.624;0.376
1,sad,0,1,0.500;0.500
2,happy,0,1,0.500;0.500
1,happy,0,1,0.500;0.500
2,sad,0,1,0.500;0.500
6,sad_0,1,0.500;0.500
